type,name,architecture,library
Text Section (Local),-[DBGGDBDataValue setStaticType:],X86_64,
Text Section (Local),-[DBGGDBDataValue setValue:],X86_64,
Text Section (Local),-[DBGGDBDataValue staticType],X86_64,
Text Section (Local),-[DBGGDBDataValue summaryHasChanged],X86_64,
Text Section (Local),-[DBGGDBDataValue summary],X86_64,
Text Section (Local),-[DBGGDBDataValue valueHasChanged],X86_64,
Text Section (Local),-[DBGGDBDataValue valueValidity],X86_64,
Text Section (Local),-[DBGGDBDataValue value],X86_64,
Text Section (Local),-[DBGGDBDataValue watch],X86_64,
Text Section (Local),-[DBGGDBLauncher PBXLSDebuggingSession],X86_64,
Text Section (Local),-[DBGGDBLauncher _adaptorConfigure],X86_64,
Text Section (Local),-[DBGGDBLauncher _adaptorUnconfigure],X86_64,
Text Section (Local),-[DBGGDBLauncher _cleanUp],X86_64,
Text Section (Local),-[DBGGDBLauncher _setFinishedRunning],X86_64,
Text Section (Local),-[DBGGDBLauncher _taskAllocate],X86_64,
Text Section (Local),-[DBGGDBLauncher _taskDidStart],X86_64,
Text Section (Local),-[DBGGDBLauncher _taskDidTerminate:],X86_64,
Text Section (Local),-[DBGGDBLauncher adaptorsExecutableDidStart],X86_64,
Text Section (Local),-[DBGGDBLauncher adaptorsSetTaskIsRunning:],X86_64,
Text Section (Local),-[DBGGDBLauncher adaptors],X86_64,
Text Section (Local),-[DBGGDBLauncher attachableProcessName],X86_64,
Text Section (Local),-[DBGGDBLauncher debugSession],X86_64,
Text Section (Local),-[DBGGDBLauncher environmentVariables],X86_64,
Text Section (Local),-[DBGGDBLauncher executableArguments],X86_64,
Text Section (Local),-[DBGGDBLauncher externalLauncherPath],X86_64,
Text Section (Local),-[DBGGDBLauncher gdbAdaptor],X86_64,
Text Section (Local),-[DBGGDBLauncher gdbArguments],X86_64,
Text Section (Local),-[DBGGDBLauncher gdbConsoleAdaptor],X86_64,
Text Section (Local),-[DBGGDBLauncher gdbTask],X86_64,
Text Section (Local),-[DBGGDBLauncher initWithExtensionIdentifier:launchSession:],X86_64,
Text Section (Local),-[DBGGDBLauncher parseConsoleInputFromOriginalInput:],X86_64,
Text Section (Local),-[DBGGDBLauncher parseConsoleOutputFromOriginalOutput:],X86_64,
Text Section (Local),-[DBGGDBLauncher pathString],X86_64,
Text Section (Local),-[DBGGDBLauncher setGdbAdaptor:],X86_64,
Text Section (Local),-[DBGGDBLauncher start],X86_64,
Text Section (Local),-[DBGGDBLauncher targetProcess],X86_64,
Text Section (Local),-[DBGGDBLauncher taskDirectory],X86_64,
Text Section (Local),-[DBGGDBLauncher terminate],X86_64,
Text Section (Local),-[DBGGDBLineBufferFilter coalescesCompleteLines],X86_64,
Text Section (Local),-[DBGGDBLineBufferFilter init],X86_64,
Text Section (Local),-[DBGGDBLineBufferFilter setCoalescesCompleteLines:],X86_64,
Text Section (Local),-[DBGGDBLineBufferFilter stream:processCharacters:],X86_64,
Text Section (Local),-[DBGGDBLineBufferFilter streamDidEnd:],X86_64,
Text Section (Local),-[DBGGDBLineStream lineStreamConsumer],X86_64,
Text Section (Local),-[DBGGDBLineStream sendLine:],X86_64,
Text Section (Local),-[DBGGDBLineStream setLineStreamConsumer:],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream _processPtyData],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream _ptyWatcherThreadDidExit],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream _setupPTYWatcherThread],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream _stopPTYWatcherThread],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream _watchPTY],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream closePTY],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream dealloc],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream fileHandleForMasterDevice],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream fileHandleForSlaveDevice],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream finalize],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream initWithControlOverReading],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream init],X86_64,
Text Section (Local),-[DBGGDBPTYDeviceByteStream masterDeviceFD],X86_64,
